======================================================================
NER PII Benchmark — Financial Hybrid (gpt-4o) × finer-139
======================================================================

Tier: 1
Evaluated labels: 139
  System labels: 139
  Dataset labels: 139
  Mapping applied: False

Samples: 500
Tokens: 25933

--- Token-Level Metrics ---
  Precision (macro/micro/weighted): 0.2520 / 0.7670 / 0.4289
  Recall    (macro/micro/weighted): 0.2380 / 0.4241 / 0.4241
  F1        (macro/micro/weighted): 0.2342 / 0.5462 / 0.4176

--- Entity-Level Metrics (seqeval) ---
  B-DebtInstrumentConvertibleConversionPrice1 P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-DebtInstrumentFairValue      P=0.0000  R=0.0000  F1=0.0000  (n=7.0)
  B-DebtInstrumentInterestRateEffectivePercentage P=0.0000  R=0.0000  F1=0.0000  (n=10.0)
  B-DebtInstrumentMaturityDate   P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-DebtInstrumentUnamortizedDiscount P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-DebtWeightedAverageInterestRate P=0.0000  R=0.0000  F1=0.0000  (n=8.0)
  B-DeferredFinanceCostsGross    P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-DeferredFinanceCostsNet      P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-DefinedBenefitPlanContributionsByEmployer P=0.0000  R=0.0000  F1=0.0000  (n=10.0)
  B-DefinedContributionPlanCostRecognized P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-DerivativeFixedInterestRate  P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-DisposalGroupIncludingDiscontinuedOperationConsideration P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-EquityMethodInvestments      P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-FiniteLivedIntangibleAssetUsefulLife P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-GainsLossesOnExtinguishmentOfDebt P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-GoodwillImpairmentLoss       P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-GuaranteeObligationsMaximumExposure P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-InterestExpense              P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-InterestExpenseDebt          P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-LeaseAndRentalExpense        P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-LesseeOperatingLeaseRenewalTerm P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-LesseeOperatingLeaseTermOfContract P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-LineOfCreditFacilityCommitmentFeePercentage P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-LineOfCreditFacilityCurrentBorrowingCapacity P=0.0000  R=0.0000  F1=0.0000  (n=10.0)
  B-LineOfCreditFacilityInterestRateAtPeriodEnd P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-LineOfCreditFacilityRemainingBorrowingCapacity P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-LineOfCreditFacilityUnusedCapacityCommitmentFeePercentage P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-LongTermDebt                 P=0.0000  R=0.0000  F1=0.0000  (n=9.0)
  B-LongTermDebtFairValue        P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-LossContingencyDamagesSoughtValue P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-MinorityInterestOwnershipPercentageByNoncontrollingOwners P=0.0000  R=0.0000  F1=0.0000  (n=8.0)
  B-MinorityInterestOwnershipPercentageByParent P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-NumberOfOperatingSegments    P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-OperatingLeaseCost           P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-OperatingLeaseExpense        P=0.0000  R=0.0000  F1=0.0000  (n=12.0)
  B-OperatingLeaseLiability      P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-OperatingLeasePayments       P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-OperatingLossCarryforwards   P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-PaymentsToAcquireBusinessesGross P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-PaymentsToAcquireBusinessesNetOfCashAcquired P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-PreferredStockDividendRatePercentage P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-PreferredStockSharesAuthorized P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-ProceedsFromIssuanceOfCommonStock P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-PropertyPlantAndEquipmentUsefulLife P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-PublicUtilitiesRequestedRateIncreaseDecreaseAmount P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-RelatedPartyTransactionAmountsOfTransaction P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-RepaymentsOfDebt             P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-RevenueFromContractWithCustomerExcludingAssessedTax P=0.0000  R=0.0000  F1=0.0000  (n=12.0)
  B-RevenueFromRelatedParties    P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-Revenues                     P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-SaleOfStockNumberOfSharesIssuedInTransaction P=0.0000  R=0.0000  F1=0.0000  (n=13.0)
  B-SaleOfStockPricePerShare     P=0.0000  R=0.0000  F1=0.0000  (n=7.0)
  B-ShareBasedCompensation       P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized P=0.0000  R=0.0000  F1=0.0000  (n=13.0)
  B-ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant P=0.0000  R=0.0000  F1=0.0000  (n=8.0)
  B-ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  B-ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-SharePrice                   P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-StockIssuedDuringPeriodSharesNewIssues P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-StockRepurchasedAndRetiredDuringPeriodShares P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-StockRepurchasedDuringPeriodShares P=0.0000  R=0.0000  F1=0.0000  (n=4.0)
  B-TreasuryStockAcquiredAverageCostPerShare P=0.0000  R=0.0000  F1=0.0000  (n=5.0)
  B-TreasuryStockSharesAcquired  P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  B-TreasuryStockValueAcquiredCostMethod P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  B-UnrecognizedTaxBenefits      P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  B-UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  I-AcquiredFiniteLivedIntangibleAssetsWeightedAverageUsefulLife P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  I-DebtInstrumentMaturityDate   P=0.0000  R=0.0000  F1=0.0000  (n=6.0)
  I-DebtInstrumentTerm           P=0.0000  R=0.0000  F1=0.0000  (n=3.0)
  I-FiniteLivedIntangibleAssetUsefulLife P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  I-LesseeOperatingLeaseRenewalTerm P=0.0000  R=0.0000  F1=0.0000  (n=2.0)
  I-PropertyPlantAndEquipmentUsefulLife P=0.0000  R=0.0000  F1=0.0000  (n=1.0)
  I-SharebasedCompensationArrangementBySharebasedPaymentAwardExpirationPeriod P=0.0000  R=0.0000  F1=0.0000  (n=2.0)

--- Per-Length Bucket ---
  short   : F1=0.2948 (n=85)
  medium  : F1=0.2461 (n=363)
  long    : F1=0.3337 (n=52)

--- Error Summary ---
  False positives: 53
  False negatives: 421
